time,luminosity,timeErrPos,timeErrNeg,luminosityErrPos,luminosityErrNeg,index,indexErrPos,indexErrNeg
75.0266,1.39348e+50,0.146613,0.154365,2.87774e+49,2.66207e+49,2.4119,0.131413,-0.109846
75.3172,1.53753e+50,0.134816,0.143916,3.47346e+49,3.16844e+49,2.43638,0.155438,-0.130055
75.5939,1.55744e+50,0.142231,0.141894,3.70818e+49,3.35596e+49,2.46507,0.170118,-0.14236
75.8588,1.66939e+50,0.155039,0.122683,3.56562e+49,3.28145e+49,2.50093,0.140647,-0.117804
76.1978,1.36479e+50,0.172228,0.184024,2.8053e+49,2.605e+49,2.54665,0.129354,-0.108685
76.572,1.35251e+50,0.180654,0.201887,3.06122e+49,2.79802e+49,2.59685,0.156598,-0.131888
76.9683,1.29457e+50,0.188406,0.215706,2.90967e+49,2.6624e+49,2.60676,0.154668,-0.13027
77.3343,1.39642e+50,0.187732,0.17762,2.86976e+49,2.66384e+49,2.58476,0.130071,-0.109439
77.7223,1.22011e+50,0.204247,0.200202,2.55138e+49,2.35935e+49,2.56157,0.134838,-0.113245
78.0907,1.39987e+50,0.173239,0.163802,3.27673e+49,2.97494e+49,2.53964,0.165937,-0.139263
78.4479,1.07529e+50,0.209976,0.184024,2.4273e+49,2.21447e+49,2.43144,0.155861,-0.130644
78.8925,8.55641e+49,0.167509,0.23458,1.80703e+49,1.65909e+49,2.22461,0.136822,-0.113124
79.2669,6.94127e+49,0.211662,0.206943,1.63172e+49,1.46327e+49,2.05131,0.16653,-0.136317
79.7634,5.02703e+49,0.272329,0.284799,1.22526e+49,1.091e+49,2.00949,0.177307,-0.145026
80.3327,5.25097e+49,0.340411,0.296933,1.11334e+49,1.01953e+49,2.19298,0.138633,-0.11438
80.9471,6.30177e+49,0.362993,0.274014,1.40924e+49,1.28868e+49,2.38957,0.151949,-0.127132
81.5571,7.89767e+49,0.318841,0.247051,1.87982e+49,1.70676e+49,2.5098,0.168202,-0.140987
82.1651,6.36796e+49,0.429727,0.289181,1.35469e+49,1.24926e+49,2.51776,0.138831,-0.116399
82.9788,5.88795e+49,0.407145,0.383889,1.21763e+49,1.12782e+49,2.52832,0.131791,-0.110594
83.7836,5.38342e+49,0.477587,0.397708,1.24767e+49,1.13463e+49,2.53867,0.163169,-0.136992
84.6036,6.39998e+49,0.389619,0.342433,1.44229e+49,1.31892e+49,2.54194,0.154099,-0.129281
85.4203,5.48007e+49,0.454668,0.426694,1.14443e+49,1.05545e+49,2.54074,0.134476,-0.112125
86.2471,6.74622e+49,0.341422,0.372093,1.52413e+49,1.38364e+49,2.53954,0.155451,-0.128743
87.0307,5.64999e+49,0.407145,0.442198,1.47396e+49,1.30777e+49,2.5314,0.196856,-0.162811
87.9323,3.92111e+49,0.513313,0.494776,8.58033e+48,7.81286e+48,2.33591,0.147295,-0.121557
89.0357,3.02183e+49,0.422649,0.590158,6.94468e+48,6.25116e+48,2.09935,0.160828,-0.131874
89.8126,3.49916e+49,0.428379,0.35423,9.01398e+48,7.96813e+48,1.9905,0.193175,-0.158277
90.7843,2.99359e+49,0.56724,0.54331,6.53866e+48,5.94922e+48,2.18218,0.14679,-0.120837
91.7846,4.37986e+49,0.493091,0.433434,9.17688e+48,8.46557e+48,2.37738,0.13538,-0.113118
92.8682,4.42722e+49,0.563869,0.590495,1.05749e+49,9.59837e+48,2.58644,0.171023,-0.144049
94.093,3.41102e+49,0.662622,0.660937,7.22658e+48,6.66449e+48,2.46595,0.13842,-0.116125
95.2305,3.70762e+49,0.553421,0.47489,7.91191e+48,7.24817e+48,2.30633,0.1404,-0.116285
96.2956,3.62968e+49,0.356589,0.511628,9.03871e+48,8.06729e+48,2.15859,0.182311,-0.150241
96.9555,5.22436e+49,0.236266,0.303337,1.15575e+49,1.04821e+49,2.02363,0.150296,-0.123473
97.3852,7.40154e+49,0.151668,0.193124,1.67477e+49,1.50883e+49,1.91424,0.155228,-0.126259
97.7627,6.00648e+49,0.16852,0.226154,1.62826e+49,1.42191e+49,1.81855,0.207707,-0.168496
98.0489,1.13114e+50,0.105494,0.117627,2.4861e+49,2.25087e+49,1.89777,0.147828,-0.120369
98.3057,8.89034e+49,0.149646,0.151331,2.06771e+49,1.85948e+49,1.97212,0.163539,-0.134152
98.5726,1.01144e+50,0.143579,0.11729,2.35766e+49,2.11695e+49,1.9446,0.164773,-0.135084
98.8237,1.09129e+50,0.110212,0.107516,2.44464e+49,2.19608e+49,1.80497,0.15375,-0.124294
99.0755,8.31745e+49,0.115942,0.141894,2.26709e+49,1.9696e+49,1.68205,0.208859,-0.16798
99.335,8.62279e+49,0.120324,0.143579,1.91141e+49,1.72446e+49,1.76401,0.149506,-0.12092
99.577,1.14372e+50,0.0957196,0.121335,2.9247e+49,2.57835e+49,1.84024,0.191044,-0.155491
99.8227,9.68573e+49,0.116616,0.149983,2.15801e+49,1.94971e+49,1.89856,0.151595,-0.123566
100.055,1.24926e+50,0.100438,0.115942,2.86292e+49,2.57629e+49,1.94972,0.160045,-0.131024
100.265,1.19689e+50,0.125716,0.108864,2.96933e+49,2.63911e+49,1.99504,0.18234,-0.149386
100.548,1.05485e+50,0.121672,0.157398,2.25737e+49,2.06301e+49,2.05439,0.140463,-0.115535
100.774,1.38701e+50,0.114257,0.10482,3.35019e+49,3.00845e+49,2.10167,0.172996,-0.142746
101.01,1.30858e+50,0.125042,0.122009,2.97762e+49,2.69372e+49,2.15364,0.158073,-0.130523
101.253,1.34044e+50,0.136164,0.118301,2.82505e+49,2.59524e+49,2.20851,0.136986,-0.11359
101.495,1.72577e+50,0.102123,0.105831,4.16438e+49,3.74614e+49,2.26287,0.174475,-0.145081
101.692,1.59048e+50,0.125042,0.0943714,3.61574e+49,3.28201e+49,2.2324,0.157818,-0.131193
101.957,1.28075e+50,0.112235,0.139535,2.69615e+49,2.4762e+49,2.14833,0.136671,-0.113199
102.198,1.13786e+50,0.134479,0.129087,2.73904e+49,2.45673e+49,2.07193,0.173789,-0.143607
102.465,9.87709e+49,0.14459,0.132457,2.17764e+49,1.98009e+49,1.96545,0.148689,-0.12243
102.721,1.27673e+50,0.0862824,0.111223,2.92673e+49,2.62413e+49,1.85476,0.160127,-0.130105
102.915,9.91664e+49,0.134816,0.107853,2.64699e+49,2.31397e+49,1.79723,0.203593,-0.165061
103.223,9.66894e+49,0.133131,0.173913,2.0836e+49,1.89621e+49,2.05648,0.143084,-0.117164
103.464,1.59516e+50,0.116279,0.106842,3.52539e+49,3.21729e+49,2.25796,0.150024,-0.124913
103.728,1.30816e+50,0.150657,0.147961,3.08574e+49,2.79136e+49,2.36473,0.16809,-0.140376
103.992,1.37457e+50,0.132794,0.112909,2.90543e+49,2.6692e+49,2.21834,0.137057,-0.113537
104.224,1.30376e+50,0.130435,0.0997641,2.95356e+49,2.66586e+49,2.08964,0.156851,-0.128683
104.541,8.34364e+49,0.143242,0.186384,2.02637e+49,1.80966e+49,2.01081,0.175146,-0.143453
104.791,1.32594e+50,0.11729,0.107179,2.83188e+49,2.58994e+49,2.09146,0.139917,-0.115184
105.042,1.25743e+50,0.119987,0.133131,2.88179e+49,2.61293e+49,2.17192,0.158793,-0.131584
105.349,9.12467e+49,0.188406,0.186721,2.11814e+49,1.91422e+49,2.24054,0.163615,-0.135716
105.684,1.18599e+50,0.154702,0.14695,2.47297e+49,2.27906e+49,2.2834,0.134057,-0.111496
105.99,1.28497e+50,0.138187,0.151331,2.9351e+49,2.66599e+49,2.32244,0.159135,-0.132682
106.255,1.50544e+50,0.122683,0.126727,3.57423e+49,3.22772e+49,2.33139,0.169911,-0.141689
106.562,1.05484e+50,0.159083,0.184361,2.21902e+49,2.04235e+49,2.29639,0.136479,-0.1136
106.917,1.03675e+50,0.14695,0.195821,2.28397e+49,2.07792e+49,2.25602,0.150508,-0.124828
107.269,8.79524e+49,0.183687,0.204921,2.18632e+49,1.95798e+49,2.24657,0.1818,-0.150689
107.67,8.99801e+49,0.210313,0.217054,1.93065e+49,1.77119e+49,2.35163,0.14119,-0.117342
108.091,1.13417e+50,0.171891,0.209976,2.3812e+49,2.19987e+49,2.46147,0.135199,-0.113216
108.507,1.02432e+50,0.230536,0.245029,2.43338e+49,2.20783e+49,2.56984,0.169486,-0.142439
108.947,1.27107e+50,0.186721,0.208965,2.80746e+49,2.57346e+49,2.59525,0.14986,-0.125967
109.325,1.23124e+50,0.217054,0.191102,2.52678e+49,2.34557e+49,2.59482,0.12969,-0.10906
109.728,1.14484e+50,0.253455,0.185372,2.37955e+49,2.20452e+49,2.59435,0.133179,-0.11207
110.197,1.05474e+50,0.260195,0.216043,2.47401e+49,2.24893e+49,2.59382,0.166517,-0.140171
110.73,8.29064e+49,0.309066,0.272666,1.81276e+49,1.66502e+49,2.55813,0.147078,-0.123738
111.267,9.90587e+49,0.232895,0.228177,2.03266e+49,1.88469e+49,2.51036,0.129656,-0.108698
111.724,9.77678e+49,0.213347,0.224469,2.1511e+49,1.97504e+49,2.46988,0.146017,-0.122042
112.255,7.12805e+49,0.265588,0.317829,1.77971e+49,1.59824e+49,2.43171,0.18362,-0.153346
112.766,9.392e+49,0.236603,0.245366,2.06293e+49,1.88707e+49,2.50042,0.148327,-0.123861
113.254,9.3786e+49,0.26997,0.251432,1.95272e+49,1.80277e+49,2.56576,0.133655,-0.111577
113.965,6.12213e+49,0.446916,0.440849,1.38007e+49,1.25775e+49,2.66038,0.154836,-0.129208
114.71,8.10137e+49,0.431075,0.298955,1.96998e+49,1.77356e+49,2.72829,0.176647,-0.147412
115.613,6.39907e+49,0.455679,0.472194,1.36413e+49,1.25761e+49,2.73922,0.138672,-0.116027
116.456,8.84018e+49,0.299292,0.38726,1.81518e+49,1.68572e+49,2.74936,0.129837,-0.109331
117.079,9.69291e+49,0.309403,0.322885,2.08819e+49,1.92648e+49,2.75679,0.143009,-0.120865
117.866,6.44913e+49,0.476576,0.478598,1.55391e+49,1.41216e+49,2.76524,0.173481,-0.146792
118.912,6.86508e+49,0.317829,0.569599,1.45068e+49,1.34063e+49,2.75254,0.13771,-0.115985
